repository	id	iid	project_id	title	description	state	created_at	updated_at	merged_by_user_name	merged_at	closed_by_user_name	closed_at	target_branch	source_branch	author_user_name	source_project_id	target_project_id	sha	merge_commit_sha	squash_commit_sha	changes_count	additions	changes	deletions	file_count
tezos/tezos	65634523	1999	3836952	shell: add trace to 'unexpected_error_while_fetching_headers' event	A simple MR to add a bit more information to this generic error.	merged	2020-07-27T10:18:27.390Z	2020-07-28T16:47:51.513Z	romain.nl	2020-07-28T16:47:51.524Z			master	abate@unexpected	abate	9487506	3836952	6bc4bc0558c2d31373b833127aabc14e9319b9b6			2	7	13	6	2
tezos/tezos	65330288	1995	3836952	V7.3 release doc	Patches with the documentation for version 7.3.	merged	2020-07-23T08:57:48.708Z	2020-09-08T09:18:33.667Z	romain.nl	2020-07-23T10:11:19.712Z			master	romain-v7-doc	romain.nl	9487506	3836952	98cbf36bf8bbe2e853510f0eea8f4ddff12dc568			7	74	100	26	7
tezos/tezos	65367670	1996	3836952	Base: fix ocamldoc for network_version.mli	"# Context 

Fixes https://gitlab.com/tezos/tezos/-/issues/871.
This MR only changes a couple of ocamldoc comments.

# Reviewers

Possibly: @julien.t"	merged	2020-07-23T14:06:27.260Z	2020-07-27T11:09:40.274Z	pirbo	2020-07-27T11:09:40.283Z			master	romain-network-version-doc	romain.nl	9487506	3836952	33e13926938e41d1a26bac87c16e286592df4100			1	25	32	7	1
tezos/tezos	65246442	1991	3836952	Fix/enhance config show mockup	"On master, the command `./tezos-client --mode mockup config show mockup`
outputs.

``` text
Default value of --bootstrap-accounts:
...
Default value of --protocol-constants:
{ ""hard_gas_limit_per_operation"":
                                           ""1040000"",
                                         ""hard_gas_limit_per_block"":
                                           ""10400000"",
                                         ""hard_storage_limit_per_operation"":
                                           ""60000"", ""cost_per_byte"": ""1000,
                                           ""chain_id"": ""NetXynUjJNZm7wi"" }
```

The indentation of the second part is not ideal.

This MR fixes that issue so that the new output is:

``` text
Default value of --bootstrap-accounts:
...
Default value of --protocol-constants:
{ ""hard_gas_limit_per_operation"": ""1040000"",
  ""hard_gas_limit_per_block"": ""10400000"",
  ""hard_storage_limit_per_operation"": ""60000"", ""cost_per_byte"": ""1000"",
  ""chain_id"": ""NetXynUjJNZm7wi"" }
```


# Reviewers

@rafoo\_ @klakplok"	merged	2020-07-22T14:47:32.233Z	2020-07-27T14:25:32.199Z	pirbo	2020-07-27T14:25:32.220Z			master	rb@fix/mockup-show-config	richard.bonichon	14747364	3836952	cb7885ad139829f5289b6dd27579111c43741745			1	3	8	5	1
tezos/tezos	64948687	1984	3836952	Emacs/Michelson mode: ignore stderr when calling the client	"# Context 

This fixes a bug that prevents to use the Emacs Michelson mode with a mockup client whose data dir has not been initialised by the `tezos-client --data-dir <dir> create mockup` command.

Fixes: nomadic-labs/tezos#201 by implementing the first solution (ignore stderr).

# Manually testing the MR

- setup the mode to use a mockup client with an empty data dir such as `/tmp/mockup`: `(setq michelson-client-command ""tezos-client --base-dir /tmp/mockup --mode mockup --protocol ProtoALphaALphaALphaALphaALphaALphaALphaALphaDdp3zK"")`
- visit a Michelson file
- move point to an instruction and check that two stack types appear in the `*Michelson*` buffer

# Automatic testing

I don't think it is applicable here.

# Reviewers

Suggested reviewers: @klakplok, @julien.t, @richard.bonichon

Propose suitable reviewers for this MR."	merged	2020-07-20T12:47:11.380Z	2020-08-18T16:31:44.821Z	arvidnl	2020-08-14T05:47:04.041Z			master	rafoo@michelson_mode_ignore_stderr	rafoo_	9487506	3836952	fa2ce7a3d74c1e08b1fddf2bce188a0b46787191			1	2	4	2	1
tezos/tezos	64930601	1982	3836952	WIP: docs: deprecation policy	This MR add a deprecation policy for the REST API.	opened	2020-07-20T10:13:09.158Z	2020-10-27T09:41:09.349Z					master	abate@deprecations	abate	9487506	3836952	4ebdf168bb81eb746824c4c018baf53c6b9632ee			1	50	50	0	1
tezos/tezos	64948374	1983	3836952	Shell: allow more concurrency when shutting down	"# Context 

Shutting down the DDB occurred sequentially, with the reader for each peer and then the chain workers shutdown one after the other. This MR allows all the peer readers to be closed concurrently.

Fixes https://gitlab.com/tezos/tezos/-/issues/869

# Manually testing the MR

`dune build @src/lib_shell/runtest`

# Automatic testing

happens in the CI

# Reviewers

@bidinger"	merged	2020-07-20T12:44:32.991Z	2020-08-07T22:13:56.646Z	smondet	2020-08-07T22:13:56.957Z			master	raphael-p@more-concurrency-in-ddb	raphael-proust	9487506	3836952	ab76f17f6f984f3a635675879ff96aa561b3698a			1	16	30	14	1
tezos/tezos	65623074	1998	3836952	Doc: update ledger setup command	small update to the key-management doc	merged	2020-07-27T08:41:20.295Z	2020-07-27T12:47:31.773Z	pirbo	2020-07-27T12:47:31.780Z			master	marco-doc	paracetamolo	9487506	3836952	4ab199c2b297620df2a881f3c10ea1ac84d6b849			1	9	26	17	1
tezos/tezos	64955910	1985	3836952	RPC: Don't emit an empty trace even when given zero errors	"# Context 

The error monad uses lists of errors as trace. It relies on the invariant that traces are never empty (in multiple places in the implementation) but never enforces it statically.

The RPC library makes some conversions between error messages received as answers to queries, and tzresult values. The conversion for errors just plainly translated each json message of a certain array.

This MR checks whether the array of errors is empty and special cases on the empty array.

Might be a fix for https://gitlab.com/tezos/tezos/-/issues/864 but it'd need to be confirmed.

# Manually testing the MR

`dune build @src/lib_rpc/runtest`

And also the reproduction steps from the aforementioned issue:

> 1. Configure your baker client to use a remote HTTP signer.
> 2. Start the baker client.
> 3. Take the remote HTTP signer offline while you have the opportunity to bake blocks.
> 4. Wait until you see the crash.


# Reviewers

@vbotbol  @arvidnl"	merged	2020-07-20T13:42:20.203Z	2020-07-31T16:12:18.969Z	pirbo	2020-07-31T16:07:22.902Z			master	raphae-p@avoid-empty-trace-in-rpc	raphael-proust	9487506	3836952	0334aa6d02642148c22d2c52eb30a172e08df84e		c8d5de69fb390da17270e421bdb98e9bcd14bd5a	1	23	26	3	1
tezos/tezos	64798224	1979	3836952	WIP: CI: Add automatic deployment and monitoring service	"**CLOSED** in favor of pipeline triggers in a side repository : https://gitlab.com/nomadic-labs/monitoring-playbooks

This MR adds a new *manual* CI action to provision a remote machine with a node compiled from the current branch and run prometheus/grafana alongside using tezos-metrics to generate the associate metrics.

The action is manual, so it wont run at every commit. Moreover it uses a protected variable available only on selected branches, and as host it will use the branch name. This has to be manually associate  to a VM in the ansible-role respository.

In other words, provisioning a machine is a restricted action and it will do nothing if not properly configured for a specific branch and a specific VM.

This configuration is needed for the p2p_master branch.

Before merging I'd like also to move the ansible-role in nomadic-labs namespace."	closed	2020-07-17T18:26:54.341Z	2020-07-21T12:13:08.667Z			abate	2020-07-21T12:13:08.682Z	master	p2p_monitoring	abate	9487506	3836952	7ee2df25c6ea42b3b2e952ce64f86d81a24e4571			1	23	23	0	1
