id	type	body	author_user_name	created_at	updated_at	isSystem	noteable_id	noteable_type	noteable_iid	change_trigger	repo	merge_request_id
gid://gitlab/DiffNote/382388460		"`&>` redirects both stdout and stderr to `/dev/null`. Is that what we want ?
Or just `2>` instead ?"	richard.bonichon	2020-07-20T15:14:01Z		False				0	tezos/tezos	1984
gid://gitlab/DiffNote/393245009		Thanks for the fix!	rafoo_	2020-08-10T12:33:48Z		False				-2	tezos/tezos	1984
gid://gitlab/DiffNote/384547406		"We should probably specify on which channels the notification will be sent (slack? newsletter? tezos.gitlab.io? release notes?).

In this notification it is also important to explicitely specify a date after which the endpoint can disappear at any time (what you refer to as the ""end of the deprecation period"")."	romain.nl	2020-07-23T14:31:30Z		False				-1	tezos/tezos	1982
gid://gitlab/DiffNote/384554128		"If the period is defined in terms of releases, it is a bit unreliable for users. Until now, we had roughly one major release every 3 months, so users would expect to have roughly 6 months to adapt. But if suddenly we make a major release after 1 month only, they could be taken by surprise.

I would instead state that an RPC call is deprecated in the first major version released at least 6 months after the deprecation was announced. Which translates to a simple rule for the merge team: do not merge a decommission in `master` before 6 months occurred since the release where the deprecation was announced. (Or 3 months, or 4 months, …)

However, announcing the deprecation in the changelog of the first version in which it is deprecated sounds good to me."	romain.nl	2020-07-23T14:41:20Z		False				-1	tezos/tezos	1982
gid://gitlab/DiffNote/384557068		"It's a good idea to leave us the possibility for breaking changes for security issues (provided we have no other option). But I don't know if specifying ""less than 30 days"" is a good idea. With the way we are handling security releases right now, we could very well make a breaking change without notice at all actually (since we don't make security patches public beforehand)."	romain.nl	2020-07-23T14:45:53Z		False				-1	tezos/tezos	1982
gid://gitlab/DiffNote/385941200		"```suggestion:-1+0
             | `A errors ->
                 List.map Error_monad.error_of_json errors
```"	mbouaziz	2020-07-27T12:53:56Z		False				0	tezos/tezos	1985
gid://gitlab/DiffNote/385139509		type annotations are missing.	bidinger	2020-07-24T13:29:29Z		False				0	tezos/tezos	1992
gid://gitlab/DiffNote/386695156		`config_dict` could be `None` too. (type annotations are missing in other parts of the file).	bidinger	2020-07-28T10:29:30Z		False				0	tezos/tezos	1992
gid://gitlab/DiffNote/386840158		"Just my personal preference so feel free to ignore, but I think that trying to cover both cases (no config file, and some config file) in the same test obfuscates the code. It leads to a special treatment for `config_file is None` in each test case. I would go with a separate test for each case (even if it leads to a little duplication).

Also if possible it's better to use a context manager (`with`) for temporary files instead of explicitly removing them in a `finally` block.

Example of context manager for temporary files
```
        with tempfile.NamedTemporaryFile(mode='w+', delete=False) as config_file:
            augmented_dict = dict(config_dict)  # Copy for safety
            augmented_dict[""base_dir""] = simple_client.base_dir
            json.dump(augmented_dict, config_file)
            config_file.close()
            cmd = ['--config-file', config_file.name, 'config', 'show']
            simple_client.run(cmd)
```
"	bidinger	2020-07-28T14:01:36Z		False				-1	tezos/tezos	1992
gid://gitlab/DiffNote/388211960		I've now put type annotations everywhere, thanks for the report!	smelc	2020-07-30T12:33:41Z		False				-2	tezos/tezos	1992
